Date,Close,Open,High,Low,Volume,Change %,Vol.
1/4/2011,3189.68,3155.56,3194.36,3143.6,85410,1.96%,85.41
1/5/2011,3175.66,3170.18,3193.78,3158.87,79270,-0.44%,79.27
1/6/2011,3159.64,3177.84,3198.05,3152.57,59680,-0.50%,59.68
1/7/2011,3166.62,3156.36,3209.9,3141.12,84090,0.22%,84.09
1/10/2011,3108.19,3162.09,3182.78,3102.43,65490,-1.85%,65.49
1/11/2011,3124.92,3096.25,3131.29,3084.51,56990,0.54%,56.99
1/12/2011,3142.34,3135.18,3153.43,3099.41,58500,0.56%,58.5
1/13/2011,3141.28,3153.99,3157.04,3127.16,51940,-0.03%,51.94
1/14/2011,3091.86,3129.67,3129.67,3083.51,53350,-1.57%,53.35
1/17/2011,2974.35,3067.43,3078.88,2968.61,66810,-3.80%,66.81
1/18/2011,2977.65,2965.42,2984.47,2947.6,42970,0.11%,42.97
1/19/2011,3044.85,2978.46,3045.61,2967.24,56570,2.26%,56.57
1/20/2011,2944.71,3037.86,3037.86,2944.5,61050,-3.29%,61.05
1/21/2011,2983.46,2935.23,3030.26,2935.14,73100,1.32%,73.1
1/24/2011,2954.23,2986.09,2999.2,2943.92,65470,-0.98%,65.47
1/25/2011,2938.65,2949.65,2960.59,2919.16,48980,-0.53%,48.98
1/26/2011,2978.43,2939.77,2982.32,2939.36,43380,1.35%,43.38
1/27/2011,3026.47,2953.59,3037.16,2935.27,82590,1.61%,82.59
1/28/2011,3036.74,3020.12,3047.27,3011.38,63010,0.34%,63.01
1/31/2011,3076.51,3035.42,3076.55,3032.45,67110,1.31%,67.11
2/1/2011,3077.28,3083.49,3087.22,3062.83,49860,0.03%,49.86
2/9/2011,3040.95,3055.4,3087.55,3031.75,60390,-1.18%,60.39
2/10/2011,3104.16,3034.08,3105.32,3024.35,66600,2.08%,66.6
2/11/2011,3120.96,3100.27,3133.5,3092.58,75980,0.54%,75.98
2/14/2011,3219.14,3123.25,3227.43,3123.25,121300,3.15%,121.3
2/15/2011,3217.67,3223.22,3259.64,3215.62,109550,-0.05%,109.55
2/16/2011,3248.53,3211.14,3248.85,3195.47,91330,0.96%,91.33
2/17/2011,3245.91,3255.63,3265.26,3218.91,88970,-0.08%,88.97
2/18/2011,3211.88,3240.05,3242.37,3203.12,75380,-1.05%,75.38
2/21/2011,3257.91,3192.15,3258.28,3189.85,79400,1.43%,79.4
2/22/2011,3163.58,3267.61,3269.05,3161.83,107860,-2.90%,107.86
2/23/2011,3174.74,3152.44,3182.18,3145.99,71330,0.35%,71.33
2/24/2011,3190.93,3170.24,3195.69,3157.97,66490,0.51%,66.49
2/25/2011,3197.62,3190.87,3213.79,3159.85,61620,0.21%,61.62
2/28/2011,3239.56,3200.68,3241.6,3178.83,76630,1.31%,76.63
3/1/2011,3254.89,3241.71,3273.51,3235.75,88570,0.47%,88.57
3/2/2011,3243.3,3237.12,3257.42,3202.83,80910,-0.36%,80.91
3/3/2011,3221.72,3248.16,3271.64,3221.04,101220,-0.67%,101.22
3/4/2011,3270.67,3223.51,3273.66,3217.48,80010,1.52%,80.01
3/7/2011,3334.51,3287.41,3337.47,3287.41,118190,1.95%,118.19
3/8/2011,3337.46,3335.71,3342.71,3311.72,84880,0.09%,84.88
3/9/2011,3338.86,3344.1,3355.49,3322.7,78030,0.04%,78.03
3/10/2011,3280.26,3330.44,3330.44,3279.33,78210,-1.76%,78.21
